support,itemsets
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Priority', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Region', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Ship Date', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Total Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Region', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Region', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Region', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Region', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Region', 'Total Cost', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Region', 'Units Sold', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Region', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Region', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Region', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
